participante_id,comunidade,pagerank,betweenness,grau_intercomunidades,forca_intercomunidades
P099,1,0.0306096449111316,0.0089776680507238,12,3.494318181818181
P126,1,0.0320595281826693,0.0088093367747727,16,4.893939393939393
P015,1,0.0311922281180304,0.0081921220962854,13,4.630681818181818
P013,2,0.0312833944148593,0.0060599259342385,21,8.914772727272727
P041,2,0.0202283740395075,0.0046010548759959,18,4.77840909090909
P092,1,0.0287644438003031,0.0044327236000448,15,4.367424242424241
P018,1,0.0256469182367153,0.0032544046683873,11,3.1325757575757573
P131,1,0.027148073441796,0.0016833127595107,13,3.946969696969696
P111,2,0.0270488802159114,0.0015710919088766,20,7.113636363636362
P116,1,0.0289702794440711,0.0014588710582426,13,4.176136363636363
P081,1,0.0274549247708563,0.0010099876557064,12,3.579545454545454
P048,2,0.0179295329689185,0.0005611042531702,14,3.6401515151515147
P071,2,0.018746281703956,0.000224441701268,13,3.814393939393939
P004,1,0.0188911033176251,0.000224441701268,2,0.6818181818181818
P007,1,0.026941015180623,0.000168331275951,13,3.8371212121212115
P094,1,0.0257390434286325,0.000112220850634,11,3.486742424242424
P103,1,0.0246935593623861,0.000112220850634,11,3.0340909090909096
P087,1,0.0247982693127537,5.611042531702391e-05,13,3.725378787878787
P088,2,0.0205309365124528,0.0,19,5.43560606060606
P072,2,0.0224977461066055,0.0,18,5.642045454545454
P077,2,0.0180697447502053,0.0,17,4.596590909090908
P056,2,0.0164976047164041,0.0,14,3.59280303030303
P133,2,0.0133360352429088,0.0,13,3.4223484848484844
P049,2,0.0128716327027856,0.0,12,2.8333333333333335
P098,1,0.0223844554786379,0.0,11,3.1098484848484844
P005,1,0.0200922553397771,0.0,11,2.793560606060606
P121,2,0.0131284896386779,0.0,10,2.554924242424242
P117,1,0.0206897754013726,0.0,7,2.0397727272727275
P091,1,0.0132062126013578,0.0,6,1.5018939393939392
P022,2,0.0077141988557011,0.0,6,1.3882575757575757
P106,1,0.0160680651776115,0.0,5,1.231060606060606
P025,1,0.0144968465534328,0.0,5,1.1439393939393936
P066,1,0.0123309515407515,0.0,4,0.9545454545454544
P001,2,0.0055693934831529,0.0,4,0.9488636363636361
P060,2,0.0054565338114445,0.0,2,0.4545454545454545
P043,2,0.0048894253685497,0.0,2,0.43181818181818177
P059,1,0.0062195087652081,0.0,1,0.2253787878787878
P044,2,0.0035655793037461,0.0,1,0.2140151515151515
P037,2,0.0054041994061657,0.0,1,0.2102272727272727
